reference_id,trade_date,time_of_trade,underlying,expiration_date,strike_price,trade_type,open_interest,ind,exchange_code,spread,premium_price,trade_size,bid_size,bid_price,ask_price,ask_size,edge,lean_size,size_ratio,trade_count,delta,theta,vega,gamma,sigma,rho
280361563,2018-02-12,11:02:53:396000,MON,2018-03-16,135,P,0,AUTOX,E,0.9,13.9,1,16,13,13.9,205,100,205,92.2,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361564,2018-02-12,11:02:53:396000,MON,2018-03-02,160,P,0,AUTOX,E,1.5,38.95,1,6,37.45,38.95,206,100,206,97.09,5,-0.945,-22.562,2.994,0.005,0.763,-7.654
280361565,2018-02-12,11:02:53:397000,MON,2018-03-02,155,P,0,AUTOX,X,1.5,33.95,1,16,32.45,33.95,208,100,208,92.31,6,-0.942,-21.366,3.125,0.006,0.693,-7.387
280361566,2018-02-12,11:02:53:399000,MON,2018-03-16,135,P,0,AUTOX,Z,0.9,13.9,9,16,13,13.9,180,100,180,91.11,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361567,2018-02-12,11:02:53:399000,MON,2018-03-16,135,P,0,AUTOX,Z,0.9,13.9,16,16,13,13.9,180,100,180,91.11,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361568,2018-02-12,11:02:53:400000,MON,2018-03-16,135,P,0,AUTOX,Z,0.9,13.9,1,16,13,13.9,179,100,179,91.06,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361569,2018-02-12,11:02:53:400000,MON,2018-03-16,135,P,0,AUTOX,X,0.9,13.9,1,16,13,13.9,179,100,179,91.06,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361570,2018-02-12,11:02:53:400000,MON,2018-03-16,135,P,0,AUTOX,Q,0.9,13.9,1,16,13,13.9,178,100,178,91.01,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361571,2018-02-12,11:02:53:401000,MON,2018-03-16,135,P,0,REG,C,0.9,13.9,1,16,13,13.9,176,100,176,90.91,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361572,2018-02-12,11:02:53:401000,MON,2018-03-02,150,P,0,AUTOX,Z,0.95,28.95,1,16,28,28.95,205,100,205,92.2,9,-0.944,-17.866,3.026,0.007,0.6,-7.148
